,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1600,2014-05-20,33.322935693473326,35.49632454686889,39.90966969305884,33.322935693473326,33.322935693473326,4.406164247210749,4.406164247210749,4.406164247210749,0.05312150924746498,0.05312150924746498,0.05312150924746498,4.353042737963285,4.353042737963285,4.353042737963285,0.0,0.0,0.0,37.72909994068407
1601,2014-05-21,33.326016881509986,35.46466464216596,39.761638967837854,33.326016881509986,33.326016881509986,4.393820273348719,4.393820273348719,4.393820273348719,-0.026714973513779754,-0.026714973513779754,-0.026714973513779754,4.4205352468624985,4.4205352468624985,4.4205352468624985,0.0,0.0,0.0,37.7198371548587
1602,2014-05-22,33.32909806954665,35.744503902832584,39.969578556487036,33.32909806954665,33.32909806954665,4.423472769619895,4.423472769619895,4.423472769619895,-0.055037334000055255,-0.055037334000055255,-0.055037334000055255,4.478510103619951,4.478510103619951,4.478510103619951,0.0,0.0,0.0,37.75257083916655
1603,2014-05-23,33.33217925758331,35.8042068098909,40.041268897267614,33.33217925758331,33.33217925758331,4.607604969989411,4.607604969989411,4.607604969989411,0.08100507555961674,0.08100507555961674,0.08100507555961674,4.526599894429794,4.526599894429794,4.526599894429794,0.0,0.0,0.0,37.93978422757272
1604,2014-05-24,33.33526044561997,35.701039255170116,39.961872587098554,33.33526044561997,33.33526044561997,4.566733963277802,4.566733963277802,4.566733963277802,0.002142831441409227,0.002142831441409227,0.002142831441409227,4.5645911318363925,4.5645911318363925,4.5645911318363925,0.0,0.0,0.0,37.90199440889778
1605,2014-05-25,33.33834163365663,35.80079511834783,40.143828439649894,33.33834163365663,33.33834163365663,4.590903197567877,4.590903197567877,4.590903197567877,-0.0015201597845339444,-0.0015201597845339444,-0.0015201597845339444,4.592423357352411,4.592423357352411,4.592423357352411,0.0,0.0,0.0,37.92924483122451
1606,2014-05-26,33.3414228216933,35.73296228789154,40.08370140726796,33.3414228216933,33.3414228216933,4.557187673335657,4.557187673335657,4.557187673335657,-0.05299694894954112,-0.05299694894954112,-0.05299694894954112,4.610184622285199,4.610184622285199,4.610184622285199,0.0,0.0,0.0,37.898610495028954
1607,2014-05-27,33.34450400972996,35.84788614890601,40.12972036975255,33.34450400972996,33.34450400972996,4.671225027575289,4.671225027575289,4.671225027575289,0.05312150924766957,0.05312150924766957,0.05312150924766957,4.61810351832762,4.61810351832762,4.61810351832762,0.0,0.0,0.0,38.01572903730525
1608,2014-05-28,33.34758519776662,35.86167594241416,40.08380281154646,33.34758519776662,33.34758519776662,4.589823047062254,4.589823047062254,4.589823047062254,-0.026714973514071417,-0.026714973514071417,-0.026714973514071417,4.616538020576325,4.616538020576325,4.616538020576325,0.0,0.0,0.0,37.93740824482887
1609,2014-05-29,33.35066638580328,35.792160762975314,40.024691231098295,33.35066638580328,33.35066638580328,4.550924155240525,4.550924155240525,4.550924155240525,-0.05503733400007646,-0.05503733400007646,-0.05503733400007646,4.605961489240602,4.605961489240602,4.605961489240602,0.0,0.0,0.0,37.9015905410438
1610,2014-05-30,33.35374757383995,35.92065113699022,40.20707166102073,33.35374757383995,33.35374757383995,4.667951325621303,4.667951325621303,4.667951325621303,0.08100507555942613,0.08100507555942613,0.08100507555942613,4.586946250061877,4.586946250061877,4.586946250061877,0.0,0.0,0.0,38.02169889946125
1611,2014-05-31,33.356828761876606,35.786214003478996,39.96129481796225,33.356828761876606,33.356828761876606,4.562288066795342,4.562288066795342,4.562288066795342,0.0021428314413305637,0.0021428314413305637,0.0021428314413305637,4.560145235354012,4.560145235354012,4.560145235354012,0.0,0.0,0.0,37.919116828671946
1612,2014-06-01,33.359909949913266,35.85340335409442,39.93238644273546,33.359909949913266,33.359909949913266,4.524752056080379,4.524752056080379,4.524752056080379,-0.0015201597846340156,-0.0015201597846340156,-0.0015201597846340156,4.5262722158650135,4.5262722158650135,4.5262722158650135,0.0,0.0,0.0,37.88466200599365
1613,2014-06-02,33.362991137949926,35.764082471362975,39.74919781977705,33.362991137949926,33.362991137949926,4.43308423809325,4.43308423809325,4.43308423809325,-0.05299694894944366,-0.05299694894944366,-0.05299694894944366,4.486081187042694,4.486081187042694,4.486081187042694,0.0,0.0,0.0,37.79607537604318
1614,2014-06-03,33.366072325986586,35.69313261254364,40.00933686917807,33.366072325986586,33.366072325986586,4.493467000081488,4.493467000081488,4.493467000081488,0.05312150924733313,0.05312150924733313,0.05312150924733313,4.440345490834154,4.440345490834154,4.440345490834154,0.0,0.0,0.0,37.859539326068074
1615,2014-06-04,33.36915351402325,35.511007830399734,39.776429252294875,33.36915351402325,33.36915351402325,4.363122281892122,4.363122281892122,4.363122281892122,-0.026714973514214837,-0.026714973514214837,-0.026714973514214837,4.389837255406336,4.389837255406336,4.389837255406336,0.0,0.0,0.0,37.73227579591538
1616,2014-06-05,33.37223470205991,35.578736681225834,39.89815865772511,33.37223470205991,33.37223470205991,4.280270386139404,4.280270386139404,4.280270386139404,-0.055037333999933186,-0.055037333999933186,-0.055037333999933186,4.335307720139337,4.335307720139337,4.335307720139337,0.0,0.0,0.0,37.65250508819932
1617,2014-06-06,33.37531589009657,35.512869255161654,39.79635845025452,33.37531589009657,33.37531589009657,4.3584740579166,4.3584740579166,4.3584740579166,0.08100507555952528,0.08100507555952528,0.08100507555952528,4.277468982357075,4.277468982357075,4.277468982357075,0.0,0.0,0.0,37.733789948013175
1618,2014-06-07,33.37839707813323,35.469262090114555,39.702650739626286,33.37839707813323,33.37839707813323,4.219120487890915,4.219120487890915,4.219120487890915,0.0021428314413359626,0.0021428314413359626,0.0021428314413359626,4.21697765644958,4.21697765644958,4.21697765644958,0.0,0.0,0.0,37.59751756602415
1619,2014-06-08,33.38147826616989,35.383456695839605,39.627884738030644,33.38147826616989,33.38147826616989,4.152900716821481,4.152900716821481,4.152900716821481,-0.0015201597846281273,-0.0015201597846281273,-0.0015201597846281273,4.154420876606109,4.154420876606109,4.154420876606109,0.0,0.0,0.0,37.53437898299137
1620,2014-06-09,33.38455945420656,35.31927323471901,39.49885662678562,33.38455945420656,33.38455945420656,4.037308054096701,4.037308054096701,4.037308054096701,-0.05299694894947836,-0.05299694894947836,-0.05299694894947836,4.090305003046179,4.090305003046179,4.090305003046179,0.0,0.0,0.0,37.42186750830326
1621,2014-06-10,33.38764064224322,35.39363864649482,39.40143793293997,33.38764064224322,33.38764064224322,4.078168819692004,4.078168819692004,4.078168819692004,0.05312150924754968,0.05312150924754968,0.05312150924754968,4.025047310444455,4.025047310444455,4.025047310444455,0.0,0.0,0.0,37.46580946193522
1622,2014-06-11,33.39072183027988,35.233044242811665,39.32183700048235,33.39072183027988,33.39072183027988,3.9322558750113936,3.9322558750113936,3.9322558750113936,-0.026714973514198583,-0.026714973514198583,-0.026714973514198583,3.9589708485255923,3.9589708485255923,3.9589708485255923,0.0,0.0,0.0,37.32297770529127
1623,2014-06-12,33.39380301831654,35.1546018763855,39.36795519466284,33.39380301831654,33.39380301831654,3.8372652370793876,3.8372652370793876,3.8372652370793876,-0.055037334000238726,-0.055037334000238726,-0.055037334000238726,3.8923025710796266,3.8923025710796266,3.8923025710796266,0.0,0.0,0.0,37.231068255395925
1624,2014-06-13,33.3968842063532,35.23080634512111,39.44965101920602,33.3968842063532,33.3968842063532,3.9061798091728166,3.9061798091728166,3.9061798091728166,0.08100507555962445,0.08100507555962445,0.08100507555962445,3.825174733613192,3.825174733613192,3.825174733613192,0.0,0.0,0.0,37.30306401552602
1625,2014-06-14,33.39996539438986,35.141059667769646,39.241512912356214,33.39996539438986,33.39996539438986,3.7597722956695887,3.7597722956695887,3.7597722956695887,0.0021428314411732377,0.0021428314411732377,0.0021428314411732377,3.7576294642284154,3.7576294642284154,3.7576294642284154,0.0,0.0,0.0,37.15973769005945
1626,2014-06-15,33.403046582426526,35.056199261869146,39.44461245179858,33.403046582426526,33.403046582426526,3.688106160060045,3.688106160060045,3.688106160060045,-0.0015201597845257717,-0.0015201597845257717,-0.0015201597845257717,3.689626319844571,3.689626319844571,3.689626319844571,0.0,0.0,0.0,37.09115274248657
1627,2014-06-16,33.406127770463186,34.906740509202784,39.091008373093885,33.406127770463186,33.406127770463186,3.568055604227427,3.568055604227427,3.568055604227427,-0.052996948949560425,-0.052996948949560425,-0.052996948949560425,3.621052553176987,3.621052553176987,3.621052553176987,0.0,0.0,0.0,36.97418337469061
1628,2014-06-17,33.409208958499846,34.80430980995094,39.012298069601435,33.409208958499846,33.409208958499846,3.6048572466827045,3.6048572466827045,3.6048572466827045,0.05312150924748376,0.05312150924748376,0.05312150924748376,3.551735737435221,3.551735737435221,3.551735737435221,0.0,0.0,0.0,37.01406620518255
